,,,,,,,,,Brand Code,Brand Name,Pack Size,Price Wise,Proposition,
Demographic Data,,,,,,,,,1,Blush,75 G,1,5,
MEM,Member ID,,,,,,,,2,Dettol + Mug On 2,150 G,1,6,
SEC,"Socio economic class (1 = high, 4 = low)",,,,,,,,3,Cinthol,100 G,1,8,
1,A,,,,,,,,4,Cinthol New,75 G,1,8,
2,B,,,,,,,,5,Dettol,75 G,1,6,
3,C,,,,,,,,6,Emami Green Apple,75 G,1,5,
4,D/E,,,,,,,,7,Factor-F-Spice,120 G,1,15,
,,,,,,,,,8,Pears Oil Clear,75 G,1,15,
FEH,Food Eating Habits,,,,,,,,9,Goldmist,100 G,1,15,
1,Pure,Vegetarian,,,,,,,10,Himani Glycerine,75 G,1,13,
2,Veg.But,Serve,Eggs,,,,,,11,Johnson's Baby,75 G,1,12,
3,Non,Vegetraian,,,,,,,12,Kerala Sandal,75 G,1,5,
0,Not,Specified,,,,,,,13,Liril,75 G,1,8,
,,,,,,,,,14,Margo,100 G,1,7,
MT,Native Language (mother tongue),,,,,,,,15,Medimix,75 G,1,7,
1,Assamese,,,,,,,,16,Moti (N/S),150 G,1,5,
2,Bengali,,,,,,,,17,Moti (N/S),100 G,1,5,
3,English,,,,,,,,18,Mysore Sandal,150 G,1,5,
4,Gujarati,,,,,,,,19,Mysore Sandal,75 G,1,5,
5,Hindi,,,,,,,,20,Mysore S.Wood-Sp-Qlty,100 G,1,5,
6,Kannada,,,,,,,,21,Naturelle,80 G,1,15,
7,Kashmiri,,,,,,,,22,Neko,75 G,1,6,
8,Konkani,,,,,,,,23,Nimin,100 G,1,15,
9,Malayalam,,,,,,,,24,Pears,75 G,1,13,
10,Marathi,,,,,,,,25,Piyu,85 G,1,15,
11,Oriya,,,,,,,,26,Pond's Dream Flower,75 G,1,5,
12,Punjabi,,,,,,,,27,Raindrop,100 G,1,15,
13,Rajasthani,,,,,,,,28,Shampoochi,75 G,1,15,
14,Sindhi,,,,,,,,29,Swastik Shikakai,100 G,1,9,
15,Tamil,,,,,,,,30,Supreme,75 G,1,15,
16,Telugu,,,,,,,,31,Tetmosol,75 G,1,15,
17,Urdu,,,,,,,,32,Tiara Herbal,75 G,1,7,
18,Sanskrit,,,,,,,,33,Turkish-Godrej,85 G,1,15,
19,Other,,,,,,,,34,Pond's Cold Cream Soap,75 G,1,5,
0,Not,Specified,,,,,,,35,Liril Fresh,125 G,1,8,
,,,,,,,,,36,Pond's Sandal,75 G,1,10,
SEX,Sex of homemaker,,,,,,,,37,Godrej Crowning Glory,75 G,1,9,
1,Male,,,,,,,,38,Other Premium Soaps,,1,15,
2,Female,,,,,,,,39,Pond's Dream Flower,150 G,1,5,
,,,,,,,,,40,Pond's Dream Flower,25 G,1,5,
AGE,Age of homemaker,,,,,,,,41,Mysore Sandal,20 G,1,5,
1,Up to,24,,,,,,,42,Arita,100 G,2,15,
2,25-34,,,,,,,,43,Afgan Carbolic,100 G,3,14,
3,35-44,,,,,,,,44,Chandrika,75 G,2,7,
4,45+,,,,,,,,45,Chandrika,50 G,2,7,
,,,,,,,,,46,Farista Carbolic,100 G,3,14,
EDU,Education of homemaker,,,,,,,,47,Genteel,75 G,2,15,
1,Illiterate,,,,,,,,48,Genteel,20 G,2,15,
2,"Literate, but no formal schooling",,,,,,,,49,Hamam,100 G,2,7,
3,Up to 4 years of school,,,,,,,,50,Hamam,25 G,2,7,
4,5-9 years of school,,,,,,,,51,Jai,100 G,4,5,
5,10-12 years of school,,,,,,,,52,Jai,25 G,4,5,
6,Some college,,,,,,,,53,Mysore Jasmine,100 G,1,5,
7,College graduate,,,,,,,,54,Kanti,150 G,3,5,
8,Some graduate school,,,,,,,,55,Lifebuoy,150 G,3,14,
9,Graduate or professional school degree,,,,,,,,56,Lifebuoy Personnel,100 G,3,5,
0,Not specified,,,,,,,,57,Lux Beauty,100 G,2,5,
,,,,,,,,,58,Lux Beauty,25 G,2,5,
HS,Household size,,,,,,,,59,Limda,100 G,2,15,
,Number of people in the household,,,,,,,,60,Max-Factor,75 G,2,5,
,,,,,,,,,61,Nishan,100 G,2,15,
CHILD,Presence of children in household,,,,,,,,62,OK-Red,150 G,3,14,
1,Children up to age 6 present (only),,,,,,,,63,OK-Pink,150 G,3,14,
2,Children 7-14 present (only),,,,,,,,64,OK-(N/S),150 G,3,14,
3,Both,,,,,,,,65,Oasis,100 G,2,5,
4,None,,,,,,,,66,Rexona (N/S),100 G,2,5,
5,Not specified,,,,,,,,67,Rexona,25 G,2,5,
,,,,,,,,,68,Ria Floral,100 G,2,15,
CS,Television,,,,,,,,69,Ria Lime,100 G,2,8,
1,Cable or broadcast TV available,,,,,,,,70,Ria (N/S),100 G,2,15,
2,Unavailable,,,,,,,,71,Swastik Neem,100 G,2,7,
,,,,,,,,,72,Wave,100 G,2,15,
Affluence Index,,,,,,,,,73,Kalpa,100 G,2,15,
,Calculated from Durables sheet.,,,,,,,,74,Lavender Dew,75 G,1,15,
,,,,,,,,,75,Joise,100 G,2,15,
Purchase Summary Data,,,,,,,,,76,Moloy Sandal,80 G,2,5,
Labels,What they stand for,,,,,,,,77,Prix,100 G,2,15,
,,,,,,,,,78,Cresil,100 G,2,15,
No. Brands,Number of brands purchased,,,,,,,,79,Soma,75 G,2,15,
Brand Runs,Number of runs (streaks) of purchasing the same brand,,,,,,,,80,Other Popular Soap,,2,15,
Total volume,Volume of product purchased (grams),,,,,,,,81,Chasme,100 G,2,13,
No. of trans.,Number of transactions,,,,,,,,82,Bubbles,75 G,2,15,
Value,Value in paise (100 paise = 1 rupee),,,,,,,,83,Patanwala Ottokhus,100 G,2,15,
