Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price ,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1010010.0,4.0,3.0,10.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,3.0,17.0,8025.0,24.0,818.0,1.41,334.38,10.19,100.00%,0.00%,0.00%,37.70%,13.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,49.20%,23.40%,56.10%,13.10%,7.50%,50.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.80%,0.00%,13.10%,34.00%
1010020.0,3.0,2.0,10.0,2.0,2.0,4.0,4.0,2.0,1.0,19.0,5.0,25.0,13975.0,40.0,1681.5,1.6,349.38,12.03,88.70%,9.70%,1.60%,2.10%,7.50%,0.00%,0.00%,0.00%,5.90%,0.00%,14.50%,69.90%,29.30%,54.70%,9.50%,6.40%,45.60%,34.70%,2.70%,1.60%,1.40%,0.00%,5.90%,0.00%,0.00%,8.10%,0.00%
1014020.0,2.0,3.0,10.0,2.0,4.0,5.0,6.0,4.0,1.0,23.0,5.0,37.0,23100.0,63.0,1950.0,1.7,366.67,8.44,94.20%,1.90%,3.90%,2.60%,54.50%,0.00%,3.00%,0.00%,0.00%,0.00%,1.90%,37.90%,12.00%,31.80%,56.20%,0.00%,24.50%,12.10%,3.40%,1.10%,0.90%,0.00%,0.00%,1.60%,0.00%,56.20%,0.30%
1014030.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,1500.0,4.0,114.0,1.0,375.0,7.6,100.00%,0.00%,0.00%,40.00%,60.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.00%,60.00%,0.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,60.00%,0.00%
1014190.0,4.0,1.0,10.0,2.0,3.0,4.0,4.0,3.0,1.0,10.0,3.0,6.0,8300.0,13.0,591.0,2.17,638.46,7.12,61.40%,14.50%,24.10%,4.80%,14.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,80.70%,0.00%,4.80%,14.50%,80.70%,80.70%,0.00%,0.00%,4.80%,0.00%,0.00%,0.00%,0.00%,0.00%,14.50%,0.00%
1017020.0,4.0,3.0,10.0,2.0,3.0,4.0,5.0,2.0,1.0,13.0,3.0,26.0,18175.0,41.0,1705.5,1.58,443.29,9.38,100.00%,0.00%,0.00%,7.70%,6.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,85.70%,21.60%,45.00%,6.60%,26.80%,48.70%,9.90%,0.00%,0.70%,7.20%,0.00%,0.00%,0.00%,0.00%,6.60%,27.00%
1017110.0,4.0,2.0,10.0,2.0,4.0,1.0,3.0,2.0,1.0,11.0,4.0,17.0,9950.0,26.0,1007.5,1.53,382.69,10.13,97.70%,2.30%,0.00%,45.20%,4.50%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,49.50%,6.80%,65.80%,4.50%,22.90%,82.20%,0.00%,2.30%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,4.50%,10.30%
1017160.0,4.0,3.0,10.0,2.0,2.0,4.0,5.0,3.0,0.0,0.0,3.0,8.0,9300.0,25.0,569.5,3.13,372.0,6.12,93.50%,0.00%,6.50%,4.30%,79.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.70%,4.00%,4.30%,89.50%,2.20%,6.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.80%,0.00%,89.50%,3.20%
1017360.0,4.0,3.0,10.0,2.0,4.0,4.0,6.0,4.0,1.0,17.0,2.0,12.0,26490.0,27.0,3113.5,2.25,981.11,11.75,89.80%,10.20%,0.00%,38.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,61.50%,10.80%,89.20%,0.00%,0.00%,70.50%,28.00%,0.00%,0.00%,1.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1017460.0,1.0,3.0,5.0,1.0,4.0,7.0,3.0,4.0,1.0,6.0,4.0,13.0,7455.0,18.0,990.5,1.38,414.17,13.29,100.00%,0.00%,0.00%,6.70%,12.10%,0.00%,0.00%,0.00%,0.00%,0.00%,40.20%,41.00%,61.40%,9.80%,12.10%,16.80%,23.90%,46.30%,15.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.10%,2.70%
