,count,mean,std,min,25%,50%,75%,max
Member id,600.0,1104187.6166666667,45601.51841356191,1010010.0,1065295.0,1106235.0,1148292.5,1167670.0
SEC,600.0,2.5,1.1189668499791465,1.0,1.75,2.5,3.25,4.0
FEH,600.0,2.0483333333333333,1.134964373495513,0.0,1.0,3.0,3.0,3.0
MT,600.0,8.178333333333333,4.294640510848134,0.0,4.0,10.0,10.0,19.0
SEX,600.0,1.7383333333333333,0.6485096994437913,0.0,2.0,2.0,2.0,2.0
AGE,600.0,3.2133333333333334,0.865488690477503,1.0,3.0,3.0,4.0,4.0
EDU,600.0,4.043333333333333,2.1900035955380694,0.0,3.0,4.5,5.0,9.0
HS,600.0,4.191666666666666,2.3000901242897664,0.0,3.0,4.0,5.0,15.0
CHILD,600.0,3.2333333333333334,1.2171104381224134,1.0,2.0,4.0,4.0,5.0
CS,600.0,0.9316666666666666,0.5073719207828583,0.0,1.0,1.0,1.0,2.0
Affluence Index,600.0,17.02,11.410079602156415,0.0,10.0,15.0,24.0,53.0
No. of Brands,600.0,3.6366666666666667,1.5797092636996806,1.0,2.0,3.0,5.0,9.0
Brand Runs,600.0,15.751666666666667,10.39648058574817,1.0,8.0,15.0,21.0,74.0
Total Volume,600.0,11914.77,7770.37450751754,150.0,6825.0,10360.0,15343.75,50895.0
No. of  Trans,600.0,31.153333333333332,17.427258470143762,1.0,22.0,28.0,40.0,138.0
Value,600.0,1337.3864333333336,883.1554632003246,20.0,789.5625,1216.0,1675.75,6371.85
Trans / Brand Runs,600.0,2.617783333333333,2.604682745889304,1.0,1.42,1.8450000000000002,2.69,23.0
Vol/Tran,600.0,415.0512166666667,248.76123200356793,94.43,250.515,361.525,490.89,2525.0
Avg. Price ,600.0,11.834716666666669,3.742724751746306,5.62,9.76,11.25,13.4175,33.33
Pur Vol No Promo - %,600.0,91.3005,11.949359609415277,0.0,87.875,95.35,100.0,100.0
Pur Vol Promo 6 %,600.0,5.3495,9.299938055154787,0.0,0.0,0.0,6.8,66.7
Pur Vol Other Promo %,600.0,3.3494999999999995,7.198369766516062,0.0,0.0,0.0,4.4,100.0
"Br. Cd. 57, 144",600.0,18.383,23.643111870017524,0.0,0.0,8.05,28.225,100.0
Br. Cd. 55,600.0,12.934833333333332,25.972003097188257,0.0,0.0,0.0,9.5,100.0
Br. Cd. 272,600.0,3.316333333333333,9.098122128549326,0.0,0.0,0.0,1.9,96.4
Br. Cd. 286,600.0,3.3941666666666666,11.287827117768204,0.0,0.0,0.0,0.0,100.0
Br. Cd. 24,600.0,1.9326666666666665,7.97757496943006,0.0,0.0,0.0,0.0,100.0
Br. Cd. 481,600.0,2.592333333333333,8.937057282854196,0.0,0.0,0.0,0.6,89.8
Br. Cd. 352,600.0,3.423166666666667,12.155752431153795,0.0,0.0,0.0,0.0,99.3
Br. Cd. 5,600.0,1.8188333333333333,6.790654137237064,0.0,0.0,0.0,1.0,97.1
Others 999,600.0,52.19816666666667,29.731835070621976,0.0,27.875,52.55,77.85,100.0
Pr Cat 1,600.0,27.90383333333334,28.08712896199554,0.0,5.7,18.1,42.025,100.0
Pr Cat 2,600.0,49.3155,31.157999153809307,0.0,20.849999999999998,52.45,74.725,100.0
Pr Cat 3,600.0,13.921166666666668,26.802738291801212,0.0,0.0,0.0,12.225,100.0
Pr Cat 4,600.0,8.861833333333333,19.16785166717387,0.0,0.0,0.0,7.1,100.0
PropCat 5,600.0,45.717666666666666,31.634428760881203,0.0,16.0,44.4,72.0,100.0
PropCat 6,600.0,9.231666666666667,16.632230228068874,0.0,0.0,2.0,10.4,97.1
PropCat 7,600.0,9.691166666666668,19.575410590974357,0.0,0.0,1.3,8.3,100.0
PropCat 8,600.0,8.014833333333332,15.255958521932573,0.0,0.0,0.8,8.625,96.4
PropCat 9,600.0,3.0818333333333334,6.281317129420879,0.0,0.0,0.0,3.15,40.8
PropCat 10,600.0,2.0245,7.664782965824188,0.0,0.0,0.0,0.0,100.0
PropCat 11,600.0,2.937333333333333,9.848246179408761,0.0,0.0,0.0,0.8,89.8
PropCat 12,600.0,0.6223333333333333,2.6321692728033357,0.0,0.0,0.0,0.0,33.3
PropCat 13,600.0,2.4938333333333333,9.545225552965412,0.0,0.0,0.0,0.525,100.0
PropCat 14,600.0,13.648833333333334,26.604348973041127,0.0,0.0,0.0,11.875,100.0
PropCat 15,600.0,2.5401666666666665,8.759649292738562,0.0,0.0,0.0,0.0,84.0
Cluster,600.0,0.915,0.9341105953475571,0.0,0.0,1.0,1.0,3.0
